Date,Close,Open,High,Low,Volume
8-2-2021,709.67,700,726.94,698.4,33615765
8-3-2021,709.74,719,722.65,701.01,21620253
8-4-2021,710.92,711,724.9,708.93,17002647
8-5-2021,714.63,716,720.9499,711.41,12919637
8-6-2021,699.1,711.9,716.33,697.63,15623049
8-9-2021,713.76,710.17,719.03,705.13,14715349
8-10-2021,709.99,713.99,716.59,701.88,13432305
8-11-2021,707.82,712.71,715.18,704.21,9800558
8-12-2021,722.25,706.34,722.8,699.4,17681686
8-13-2021,717.17,723.71,729.9,714.34,16731467
8-16-2021,686.17,705.07,709.5,676.4,23103303
8-17-2021,665.71,672.66,674.58,648.84,23721279
8-18-2021,688.99,669.7479,695.77,669.35,20349375
8-19-2021,673.47,678.21,686.55,667.59,14313486
8-20-2021,680.26,682.85,692.1299,673.7,14841865
8-23-2021,706.3,685.442,712.1299,680.7505,20264859
8-24-2021,708.49,710.68,715.22,702.64,13083071
8-25-2021,711.2,707.03,716.97,704,12645562
8-26-2021,701.16,708.31,715.4,697.6201,13214292
8-27-2021,711.92,705,715,702.1001,13833763
8-30-2021,730.91,714.715,731,712.73,18604220
8-31-2021,735.72,733,740.39,726.44,20855436
9-1-2021,734.09,734.08,741.99,731.2701,13204335
9-2-2021,732.39,734.5,740.97,730.54,12796739
9-3-2021,733.57,732.2494,734,724.2,15271045
9-7-2021,752.92,740,760.2,739.26,20039825
9-8-2021,753.87,761.58,764.45,740.7733,18793036
9-9-2021,754.86,753.41,762.1,751.6301,14077731
9-10-2021,736.27,759.6,762.61,734.5201,15184170
9-13-2021,743,740.2143,744.78,708.85,22952482
9-14-2021,744.49,742.57,754.47,736.4,18524881
9-15-2021,755.83,745,756.86,738.36,15357685
9-16-2021,756.99,752.83,758.91,747.61,13923393
9-17-2021,759.49,757.15,761.04,750,28204176
9-20-2021,730.17,734.5577,742,718.6249,24757652
9-21-2021,739.38,734.79,744.7399,730.44,16330723
9-22-2021,751.94,743.5263,753.6699,739.12,15126272
9-23-2021,753.64,755,758.2,747.92,11947527
9-24-2021,774.39,745.89,774.8,744.56,21373022
9-27-2021,791.36,773.12,799,769.31,28070657
9-28-2021,777.56,787.2,795.64,766.1801,25381422
9-29-2021,781.31,779.8,793.5,770.68,20942877
9-30-2021,775.48,781,789.1305,775,17955961
10-1-2021,775.22,778.4,780.78,763.59,17031414
10-4-2021,781.53,796.5,806.9699,776.12,30483341
10-5-2021,780.59,784.7962,797.31,774.2,18432625
10-6-2021,782.75,776.2,786.66,773.22,14632768
